id,date,amount,memo,account
1,1/5/2021,-114.51,Oyonder,CR54 5042 2538 4565 2475 7
2,8/21/2021,838.0,Twitterwire,FR55 9655 8165 72O9 ZOXX OPZT N29
3,4/4/2020,105.93,Fiveclub,FR81 6009 7887 26VT 3IU8 HVGR G79
4,12/26/2020,185.69,Dabtype,SE61 0323 5375 9124 3030 0494
5,6/16/2020,546.86,Youbridge,GB63 YCAD 8262 2158 3295 37
6,8/8/2020,-760.39,Feedfish,LU40 036B 1MFH ANUJ QUZ3
7,11/15/2019,-19.32,Zoombeat,MK95 194P ZTMT WB9X H30
8,11/25/2020,489.12,Oyoloo,HU67 4046 6555 2483 6872 9083 6287
9,3/6/2021,-852.14,Zoovu,CR72 7949 4631 5165 3986 9
10,2/19/2021,407.05,Fiveclub,SK86 1014 3391 7560 1487 2261
11,8/13/2021,522.45,Realcube,MT23 PZEJ 6265 2SAV QRRP CZVW XWKI NUI
12,6/27/2020,-262.72,InnoZ,PS37 LZAY KXXE 4Z8J MRXB BFWJ XUHN T
13,7/13/2021,256.52,Miboo,GE56 GY17 1823 6385 0304 01
14,12/17/2019,-950.43,Topiczoom,IE86 WEBD 1836 5791 1020 36
15,8/30/2020,-314.28,Devshare,LU35 485N VX5Y ZDRE KE2I
16,5/11/2020,-351.82,Bluejam,VG86 YXJZ 9015 1645 5639 0812
17,2/21/2020,-974.49,Bubbletube,MT30 MIIA 8143 2RWI FKZG VIWW MXKX PKK
18,8/29/2020,-693.59,Voonix,FR70 2444 6470 06J3 MUNI F1AU Y21
19,1/6/2020,-32.11,Wordware,PL72 6778 4897 9980 6791 4153 7263
20,3/9/2020,-441.65,Shuffledrive,PK26 PTNR B7K0 BBV7 4PKM VWWR
21,6/25/2020,611.11,Gigashots,FR35 5032 9548 52NZ ZOKP CF7O R46
22,6/21/2021,-901.43,Twiyo,SA10 05AT ZCHO LIEV O5PF 8SRD
23,8/11/2021,242.76,Mymm,BG53 EFRU 6547 52RA VGYA EL
24,1/6/2021,-715.53,Kwideo,FR82 5116 5911 7904 FBMK UBCN N46
25,1/29/2021,493.99,Midel,SK06 2781 4835 8021 2098 2692
26,1/11/2021,237.13,Mymm,MD57 ETIB 0F4A VSUC V9WR UDSY
27,10/17/2020,116.99,Miboo,BH91 RJJM GTZI AD52 4RLP XC
28,8/24/2021,-788.7,Twitterwire,BR19 3214 7392 9718 3220 6735 378P G
29,11/24/2020,953.37,Meembee,BR31 1909 4741 8059 4543 3987 907W G
30,9/19/2020,789.3,Katz,FR80 9700 4088 78II 83QR TZDL A33
31,5/17/2021,-290.57,Buzzbean,FR04 5988 5590 14KS LHM3 FUHQ 387
32,9/21/2020,-799.24,Buzzbean,TR75 2982 128H EQHR YPYN UD2B 1D
33,6/15/2020,701.81,Katz,SE39 7259 0950 9263 4861 5997
34,3/31/2021,-494.64,Browsetype,SK84 0690 5829 9838 4381 9536
35,2/21/2020,459.34,Bubblebox,SA27 49Z2 TLCT NX2R ADR8 PS8W
36,10/23/2020,-926.2,Quamba,SK23 7106 1872 0076 1945 9231
37,7/4/2020,-279.52,Centimia,ES96 5575 7381 3298 5582 9840
38,1/13/2020,481.52,Lajo,SM45 S651 7157 408A W6AO MA4P UAQ
39,4/5/2020,777.61,Jabberstorm,SE43 8736 9824 8520 9363 1506
40,5/14/2021,527.07,Fivebridge,KZ87 978M LPCC RSF5 NGQG
41,8/31/2020,569.69,Meevee,CY94 8887 2618 2G0S EIBP 9ZTW RUFW
42,6/23/2021,-7.65,Omba,CH29 6428 5BV3 XAV2 EU7N Q
43,3/21/2020,-111.2,Eire,PS03 OHHL B4BD YCNT E85B HF6K LOHJ L
44,10/18/2020,-888.77,Brainlounge,FR46 9913 7655 59SR 1AUH IMQF X16
45,6/18/2020,464.82,Blogtags,PT29 7608 4081 5634 2499 3753 0
46,2/20/2021,591.14,Meedoo,BE16 7120 3433 2324
47,8/19/2020,-353.58,Skibox,RO34 WBPE PAP7 JE0A X9ET YF9B
48,9/15/2020,476.36,Minyx,AL66 8834 4105 QM7X RBVW LRCI 9YYQ
49,4/18/2021,67.69,Skyvu,LB35 1608 NR0Z FXYC ZGRE ATMJ LUXE
50,8/14/2020,-957.43,Vimbo,FR49 4019 7576 23MD QCIP BDF8 F87
51,1/27/2020,-705.78,Oyoyo,SI40 4906 1265 7546 984
52,6/23/2021,-840.02,Yakijo,PK26 VENR ZLTL FPMB UGL7 6TTP
53,12/11/2019,-270.55,Dynazzy,FR51 4090 2288 553H YGUB XDBB A77
54,11/17/2019,-814.5,Jaxspan,BH34 DAJI A2XE HJQV XAMH 1O
55,5/10/2020,343.35,Livefish,BA87 4226 9862 9067 6616
56,3/27/2020,669.28,Skippad,AD33 8978 5128 XZZK FZTD OAVY
